department,salary_usd
Support,39920
HR,48560
Marketing,43401
Sales,55302
HR,58894
Sales,73527
Engineering,102662
Sales,63366
Marketing,72237
HR,55550
Sales,50495
Support,58002
Sales,68082
Engineering,73685
Sales,53203
Sales,80043
HR,35373
Engineering,96469
HR,76292
Marketing,31359
HR,48262
Sales,54080
Support,28000
Marketing,90735
Engineering,77444
Support,69159
Sales,63452
Engineering,80823
Support,48110
Sales,48340
Support,59028
Support,41621
Support,52930
Engineering,98197
Engineering,100611
Engineering,80908
Marketing,59498
Engineering,93756
HR,37947
Engineering,109623
Support,44360
HR,41653
Support,52052
Engineering,66350
HR,52368
Engineering,78885
HR,64288
Engineering,101998
Sales,66072
Sales,95320
Engineering,78689
Marketing,43155
Engineering,109908
HR,47366
Support,35216
HR,66977
Support,36165
Support,29192
Support,40524
Engineering,118692
Marketing,36986
Marketing,45492
Support,50691
Engineering,131537
Sales,86224
Marketing,57904
Marketing,63544
HR,63066
Engineering,85956
Engineering,115988
Sales,64681
Marketing,54420
Engineering,103323
Engineering,98704
Marketing,42251
Support,54165
Sales,44071
Engineering,81175
Support,61548
Marketing,43711
Marketing,41887
Marketing,63736
Sales,61094
HR,54635
Sales,50537
Marketing,41023
Support,57133
Support,35433
Support,52169
Marketing,77115
Marketing,39669
Engineering,98838
HR,50022
HR,48395
HR,59614
Marketing,87716
Sales,50126
Sales,75270
Sales,90728
HR,56782
Marketing,55326
Support,56989
Engineering,90402
Marketing,70785
Marketing,52178
Marketing,70349
Marketing,67811
Support,37716
Sales,47195
Marketing,70067
Sales,56874
HR,64386
Engineering,110328
Sales,75509
Marketing,43544
Sales,58050
Sales,28000
Marketing,94437
Sales,70989
Support,52578
Engineering,100814
HR,46683
Sales,46340
Marketing,50971
HR,39358
Engineering,76601
HR,51409
Engineering,112066
Support,44685
Engineering,86558
Support,43345
Engineering,97771
Marketing,72373
Engineering,99334
HR,42465
Support,36307
Sales,62368
Support,44651
Engineering,64455
Engineering,89690
HR,73143
HR,47341
HR,68083
Marketing,71004
Sales,32972
Support,38115
HR,51378
Marketing,41821
Engineering,61892
HR,55405
Support,44784
Sales,56767
Marketing,69173
Sales,86284
Support,46820
HR,50789
HR,50389
Sales,34684
Marketing,53344
Sales,69562
Support,28000
Sales,57492
HR,65091
Sales,54111
Marketing,37165
HR,73037
Support,56969
Sales,83378
Sales,56949
HR,46796
Marketing,47964
Engineering,87923
Marketing,47629
Engineering,104566
Engineering,87373
HR,55423
Sales,71894
Support,44335
HR,63668
Engineering,131743
Engineering,95659
Engineering,99146
HR,44797
Engineering,90219
Support,42084
Engineering,97001
Support,48421
Engineering,99983
Sales,97194
Sales,42350
Support,54433
Marketing,44018
HR,52090
Marketing,45478
HR,64163
Engineering,100053
HR,55215
Engineering,77276
HR,53671
HR,48729
Engineering,115707
Sales,60399
Sales,67090
Support,37838
HR,41065
Marketing,70859
Engineering,60518
Engineering,91022
Sales,84517
HR,51450
Support,42682
HR,41661
HR,63772
Marketing,51187
HR,52190
Marketing,71911
Engineering,87161
Sales,64898
Sales,79063
Support,42829
Sales,53059
Marketing,77504
Support,30521
HR,52124
Engineering,82359
Support,45347
Marketing,52181
Engineering,125185
