student_id,study_hours,sleep_hours,exam_score
135,10.8,5.4,96.1
136,10.8,4.9,100.0
137,7.6,8.5,71.1
138,4.1,4.4,58.0
139,4.2,6.6,61.3
140,8.7,6.1,87.2
141,10.8,8.9,100.0
142,10.6,4.6,86.3
143,9.4,6.0,78.6
144,7.7,8.8,85.9
145,1.0,8.3,23.9
146,1.9,8.1,57.4
147,10.8,5.3,88.7
148,7.3,4.9,72.9
149,0.1,7.3,30.1
150,1.2,8.6,40.9
151,8.0,6.8,86.8
152,0.1,6.9,41.7
153,1.9,5.4,48.8
154,6.6,7.8,70.0
155,8.3,4.9,66.6
156,7.8,5.6,68.8
157,2.7,6.1,46.3
158,8.5,6.5,82.9
159,2.8,5.2,50.1
160,3.9,4.6,63.1
161,9.0,7.1,85.6
162,7.8,5.4,76.0
163,10.2,6.9,100.0
164,7.9,4.8,79.3
165,6.8,6.4,66.9
166,1.1,6.7,55.6
167,4.4,4.3,67.5
168,3.2,5.7,66.2
169,2.9,4.7,49.2
170,11.7,4.3,100.0
171,4.7,8.9,47.8
172,10.7,5.6,96.9
173,7.6,8.0,73.3
174,9.5,5.3,73.6
175,6.0,7.4,74.5
176,6.9,7.8,56.4
177,5.9,7.0,50.4
178,2.3,6.4,49.9
179,8.7,6.1,84.8
180,3.4,5.7,60.4
181,0.3,8.6,42.5
182,7.7,8.2,86.9
183,2.1,8.8,51.5
184,11.3,4.6,92.7
185,11.4,7.7,93.7
186,11.0,8.7,89.9
187,4.4,4.9,60.2
188,0.2,4.3,27.3
189,11.1,7.7,95.4
190,5.1,6.9,60.8
191,11.6,8.2,97.5
192,11.6,4.7,97.5
193,10.2,8.0,68.4
194,3.5,5.0,46.0
195,4.6,4.8,58.1
196,10.2,4.8,87.6
197,3.8,8.1,56.8
198,2.0,7.3,47.8
199,6.7,6.6,82.0
200,11.2,5.8,95.7
